Ts	CO2_0.550000	CO2_0.600000	CO2_0.650000
2.410000e+02	6.403619e+00	7.312488e+02	1.362443e+04
2.400000e+02	3.068926e+00	4.343264e+02	1.105263e+04
2.390000e+02	1.414955e+00	2.455540e+02	8.746041e+03
2.380000e+02	6.157913e-01	1.329517e+02	6.722878e+03
2.370000e+02	2.476964e-01	6.950644e+01	4.995553e+03
2.360000e+02	9.419362e-02	3.535034e+01	3.568522e+03
2.350000e+02	4.074085e-02	1.755229e+01	2.436086e+03
2.340000e+02	2.471337e-02	8.483867e+00	1.580509e+03
2.330000e+02	1.962755e-02	3.952590e+00	9.711150e+02
2.320000e+02	1.790330e-02	1.754648e+00	5.655313e+02
2.310000e+02	1.748211e-02	7.522684e-01	3.143286e+02
2.300000e+02	1.768895e-02	3.413296e-01	1.688178e+02
2.290000e+02	1.825446e-02	1.855638e-01	8.877622e+01
2.280000e+02	1.905366e-02	1.229714e-01	4.608258e+01
2.270000e+02	2.002183e-02	9.406095e-02	2.358199e+01
2.260000e+02	2.112267e-02	7.894800e-02	1.174456e+01
2.250000e+02	2.233457e-02	7.037617e-02	5.551829e+00
2.240000e+02	2.364421e-02	6.531327e-02	2.433594e+00
2.230000e+02	2.504317e-02	6.232708e-02	1.054057e+00
2.220000e+02	2.652616e-02	6.067059e-02	5.445489e-01
2.210000e+02	2.808991e-02	5.992237e-02	3.514474e-01
